Model,Teacher,intermediate_loss_type,alpha,intermediate_strategy,kd_loss_type,mixup,repeated_aug,aug_p,task,baseline_score,contextual,backtranslation,random,ratio,source
TinyBERT4,BERT_BASE,mi,0.9,last,mse,FALSE,1,0.3,cloth,0.66442953,0,0,0,0.79893607,random
TinyBERT4,BERT_BASE,mi,0.9,skip,mse,TRUE,1,0.1,cloth,0.66442953,2,0,1,0.8722634,random
TinyBERT4,BERT_BASE,mi,0.9,emd,mse,FALSE,1,0.3,cloth,0.66442953,0,0,0,0.79976636,random
TinyBERT4,BERT_BASE,mi,0.5,last,mse,TRUE,1,0.3,cloth,0.66442953,0,0,0,0.80384237,random
TinyBERT4,BERT_BASE,mi,0.1,skip,mse,FALSE,1,0.3,cloth,0.66442953,0,0,0,0.79955447,random
TinyBERT4,BERT_BASE,mi,0.9,skip,mse,TRUE,1,0.1,cloth,0.66442953,2,0,1,0.8722634,auto_distiller
TinyBERT4,BERT_BASE,mi,0.9,skip,mse,TRUE,1,0.3,cloth,0.66442953,2,0,1,0.8712926,auto_distiller
TinyBERT4,BERT_BASE,mi,0.9,skip,mse,TRUE,1,0.5,cloth,0.66442953,2,0,1,0.8709045,auto_distiller
TinyBERT4,BERT_BASE,mi,1,last,mse,TRUE,1,0.3,cloth,0.66442953,0,0,0,0.8059957,auto_distiller
TinyBERT4,BERT_BASE,mi,0.1,emd,mse,TRUE,1,0.3,cloth,0.66442953,0,0,0,0.80564064,auto_distiller
