Model,Teacher,intermediate_loss_type,alpha,intermediate_strategy,kd_loss_type,mixup,repeated_aug,aug_p,#example,score,task,ratio,baseline_score,contextual,backtranslation,random
ELECTRA_SMALL,BERT_BASE,mi,0.9,skip,mse,FALSE,1,0.3,393000,0.83681737,mnli,0.995026599,56.2,0,0,0
ELECTRA_SMALL,BERT_BASE,mi,0.5,skip,mse,FALSE,1,0.3,393000,0.8331511,mnli,0.990667182,56.2,0,0,0
ELECTRA_SMALL,BERT_BASE,mi,0.5,skip,mse,TRUE,1,0.3,393000,0.829129379,mnli,0.985885112,56.2,0,0,0
ELECTRA_SMALL,BERT_BASE,mi,0.9,skip,mse,TRUE,1,0.3,393000,0.828775424,mnli,0.985464238,56.2,0,0,0
TinyBERT6,BERT_BASE,mi,0.9,skip,mse,FALSE,1,0.3,393000,0.826791928,mnli,0.983105741,56.2,0,0,0
BERT_BASE,BERT_BASE,mi,0.9,skip,mse,FALSE,1,0.3,393000,0.820478413,mnli,0.975598589,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.9,emd,mse,FALSE,1,0.3,393000,0.817427504,mnli,0.971970873,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.5,emd,mse,TRUE,1,0.3,393000,0.816967261,mnli,0.971423616,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.1,emd,mse,FALSE,1,0.3,393000,0.816816371,mnli,0.971244199,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.5,skip,mse,FALSE,1,0.3,393000,0.816610047,mnli,0.970998867,56.2,0,0,0
TinyBERT4,BERT_BASE,mse,0.1,emd,mse,TRUE,1,0.3,393000,0.816306595,mnli,0.970638044,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.9,emd,mse,TRUE,1,0.3,393000,0.816255917,mnli,0.970577785,56.2,0,0,0
TinyBERT4,BERT_BASE,mse,0.1,emd,mse,FALSE,1,0.3,393000,0.816053204,mnli,0.970336747,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.1,emd,mse,TRUE,1,0.3,393000,0.815999355,mnli,0.970272717,56.2,0,0,0
TinyBERT4,BERT_BASE,mse,0.1,skip,mse,FALSE,1,0.3,393000,0.81584917,mnli,0.970094138,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.5,emd,mse,FALSE,1,0.3,393000,0.815747373,mnli,0.969973095,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,1,emd,mse,FALSE,1,0.3,393000,0.815747373,mnli,0.969973095,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.7,emd,mse,FALSE,1,0.3,393000,0.815747373,mnli,0.969973095,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.5,emd,mse,FALSE,1,0.3,393000,0.815747109,mnli,0.969972781,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.7,last,mse,FALSE,1,0.3,393000,0.815744642,mnli,0.969969848,56.2,0,0,0
TinyBERT4,BERT_BASE,cos,0.1,skip,mse,FALSE,1,0.3,393000,0.815645664,mnli,0.969852157,56.2,0,0,0
TinyBERT4,BERT_BASE,ce,0.1,skip,mse,FALSE,1,0.3,393000,0.815137561,mnli,0.969247992,56.2,0,0,0
TinyBERT4,BERT_BASE,pkd,0.1,emd,mse,FALSE,1,0.3,393000,0.814423398,mnli,0.968398809,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.9,emd,ce,FALSE,1,0.3,393000,0.813100745,mnli,0.966826094,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.7,skip,ce,FALSE,1,0.3,393000,0.812793593,mnli,0.966460872,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.5,emd,ce,FALSE,1,0.3,393000,0.812793064,mnli,0.966460243,56.2,0,0,0
TinyBERT4,BERT_BASE,mse,0.1,last,ce,FALSE,1,0.3,393000,0.812743179,mnli,0.966400926,56.2,0,0,0
TinyBERT4,BERT_BASE,mi,0.9,emd,ce,TRUE,1,0.3,393000,0.812538,mnli,0.966156956,56.2,0,0,0
TinyBERT4,BERT_BASE,ce,0.1,last,ce,FALSE,1,0.3,393000,0.812082689,mnli,0.965615564,56.2,0,0,0
TinyBERT4,BERT_BASE,mse,0.1,emd,ce,TRUE,1,0.3,393000,0.812081455,mnli,0.965614096,56.2,0,0,0
