task,model,score
mnli,BERT_BASE,84.4
qqp,BERT_BASE,89.5
qnli,BERT_BASE,91.7
sst-2,BERT_BASE,93.0
cola,BERT_BASE,55
mrpc,BERT_BASE,89.6
rte,BERT_BASE,65
stsb,BERT_BASE,88.8
mnli,ELECTRA-large,90.4
qqp,ELECTRA-large,91.6
qnli,ELECTRA-large,95.1
sst-2,ELECTRA-large,96.6
cola,ELECTRA-large,67.4
mrpc,ELECTRA-large,91.7
rte,ELECTRA-large,84.5
stsb,ELECTRA-large,88.8
mnli,Roberta-large,90.2
qqp,Roberta-large,90.9
qnli,Roberta-large,94.7
sst-2,Roberta-large,96.3
cola,Roberta-large,64.6
mrpc,Roberta-large,91.3
rte,Roberta-large,78.7
stsb,Roberta-large,91.8
mnli,ELECTRA_BASE,88.6
qqp,ELECTRA_BASE,90.4
qnli,ELECTRA_BASE,93.0
sst-2,ELECTRA_BASE,95.2
cola,ELECTRA_BASE,67.3
mrpc,ELECTRA_BASE,89.5
rte,ELECTRA_BASE,82.7
stsb,ELECTRA_BASE,90.3
