Model,Teacher,intermediate_loss_type,alpha,intermediate_strategy,kd_loss_type,mixup,repeated_aug,aug_p,task,baseline_score,contextual,backtranslation,random,ratio,
TinyBERT4,BERT_BASE,mi,0.9,skip,mse,TRUE,1,0.5,boolq,0.66442953,2,0,1,0.914060831,
TinyBERT4,BERT_BASE,mi,0.9,skip,ce,TRUE,1,0.5,boolq,0.66442953,2,0,1,0.859947085,
TinyBERT4,BERT_BASE,mi,0.9,skip,mse,TRUE,1,0.1,boolq,0.66442953,2,0,1,0.859722197,
TinyBERT4,BERT_BASE,mi,0.9,skip,ce,FALSE,1,0.5,boolq,0.66442953,2,0,1,0.856528699,
TinyBERT4,BERT_BASE,mi,0.9,skip,mse,TRUE,1,0.3,boolq,0.66442953,2,0,1,0.847028852,
TinyBERT4,BERT_BASE,mi,1,skip,ce,FALSE,1,0.3,boolq,0.66442953,0,0,0,0.7637757,0.730498623
TinyBERT4,BERT_BASE,cos,0.1,last,mse,TRUE,1,0.3,boolq,0.66442953,0,0,0,0.80568177,0.684001224
TinyBERT4,BERT_BASE,mi,0.9,skip,ce,TRUE,1,0.1,boolq,0.66442953,2,0,1,0.80584294,
TinyBERT4,BERT_BASE,ce,0.1,last,ce,FALSE,1,0.3,boolq,0.66442953,0,0,0,0.79886496,0.686142551
TinyBERT4,BERT_BASE,mi,0.9,skip,ce,FALSE,1,0.3,boolq,0.66442953,0,0,0,0.7623102,0.733863567
